S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
767,Kidney Stones,"Severe flank pain, hematuria","Pain management, surgery",None,Few days,Not applicable
768,Kidney Failure (Chronic),"Fatigue, swelling","Dialysis, transplant",None,Lifelong,Not applicable
769,Kidney Infection (Pyelonephritis),"Fever, back pain",Antibiotics,Ciprofloxacin,7–14 days,Daily
770,Lactose Intolerance,"Bloating, diarrhea after dairy",Dietary changes,Lactase supplements,Lifelong (as needed),With dairy intake
771,Laryngitis,"Hoarseness, sore throat","Voice rest, supportive care",None,3–7 days,Not applicable
772,Leprosy,"Skin lesions, nerve damage",Antibiotics,"Dapsone, Rifampicin",6–12 months,Daily
773,Leukemia (Acute),"Fatigue, bruising","Chemotherapy, bone marrow transplant",Chemotherapy agents,Months–years,IV cycles
774,Leukemia (Chronic),"Fatigue, weight loss",Targeted therapy,Imatinib,Months–years,Daily
775,Liver Cancer,"Weight loss, abdominal pain","Surgery, chemotherapy",Sorafenib,Depends on stage,Daily (oral)
776,Liver Cirrhosis,"Fatigue, jaundice","Treat cause, transplant",None,Lifelong,Not applicable
777,Lupus (SLE),"Fatigue, joint pain, rash",Immunosuppressants,"Hydroxychloroquine, Steroids",Lifelong,Daily
778,Lyme Disease,"Rash, fever, joint pain",Antibiotics,Doxycycline,10–21 days,Twice daily
779,Malaria,"Fever, chills",Antimalarial drugs,Artemisinin-based therapies,3–7 days,Daily
780,Malnutrition,"Weight loss, weakness",Nutritional support,Nutritional supplements,Weeks–months,Daily
781,Meniere’s Disease,"Vertigo, hearing loss","Diet, medication",Diuretics,Long-term,Daily
782,Melanoma,"Dark skin lesion, mole changes","Surgery, immunotherapy",None,Depends on stage,Not applicable
783,Meningitis,"Fever, stiff neck",Antibiotics (bacterial),Ceftriaxone,7–21 days,IV daily
784,Menopause,"Hot flashes, mood swings",Hormone therapy,Estrogen,Varies,Daily
785,Mesothelioma,"Chest pain, breathlessness","Surgery, chemotherapy",Pemetrexed,Months,IV cycles
786,Metabolic Syndrome,"Obesity, hypertension",Lifestyle changes,None,Lifelong,Not applicable
787,Migraine,"Severe headache, nausea","Pain relief, preventive meds","Triptans, Beta blockers",As needed/Long-term,As needed/Daily
788,Multiple Sclerosis,"Numbness, vision issues",Immunomodulatory therapy,Interferon beta,Long-term,Injections (weekly)
789,Muscular Dystrophy,Muscle weakness,"Physical therapy, steroids",Prednisone,Long-term,Daily
790,Myasthenia Gravis,"Muscle weakness, eyelid droop",Immunosuppressants,Pyridostigmine,Long-term,Daily
791,Myocarditis,"Chest pain, fatigue",Supportive care,None,Weeks–months,Not applicable
792,Nasopharyngeal Cancer,"Nasal blockage, bleeding","Radiation, chemotherapy",Cisplatin,Weeks–months,IV cycles
793,Narcolepsy,Daytime sleepiness,"Medication, lifestyle changes",Modafinil,Long-term,Daily
794,Nasal Polyps,"Nasal congestion, loss of smell","Steroids, surgery",Corticosteroids,Weeks–months,Daily (nasal)
795,Necrotizing Fasciitis,"Severe pain, tissue death","Surgery, antibiotics",Broad-spectrum antibiotics,Emergency,IV daily
796,Nephrotic Syndrome,"Swelling, proteinuria","Steroids, immunosuppressants",Prednisone,Weeks–months,Daily
797,Neural Tube Defects,Brain/spine birth defects,"Surgery, supportive care",None,Surgical intervention,Not applicable
798,Neurofibromatosis,Tumors on nerves,"Surgery, monitoring",None,Long-term,Not applicable
799,Neuropathy,"Numbness, extremity pain",Treat underlying cause,Gabapentin,Long-term,Daily
800,Obesity,Excess body fat,"Diet, exercise",None,Long-term,Not applicable
801,Obsessive-Compulsive Disorder (OCD),"Repetitive thoughts, compulsive behaviors",Cognitive behavioral therapy,"SSRIs (Fluoxetine, Sertraline)",Long-term,Daily
802,Osteoarthritis,"Joint pain, stiffness","Pain management, physical therapy",NSAIDs (Ibuprofen),Long-term,As needed
803,Osteoporosis,"Bone fractures, loss of height","Calcium, vitamin D, bisphosphonates",Alendronate,Months–years,Weekly/Daily
804,Otitis Media,"Ear pain, hearing loss",Antibiotics,Amoxicillin,5–10 days,Daily
805,Pancreatitis,"Abdominal pain, nausea","Hospital care, fasting",Pain relievers,Few days,As needed
806,Parkinson’s Disease,"Tremors, stiffness","Medication, physical therapy","Levodopa, Carbidopa",Lifelong,Daily
807,Peptic Ulcer Disease,"Abdominal pain, bleeding","Antibiotics, acid blockers","Omeprazole, Amoxicillin",2–4 weeks,Daily
808,Pertussis (Whooping Cough),Severe coughing fits,Antibiotics,Azithromycin,5 days,Daily
809,Phenylketonuria (PKU),"Intellectual disability, seizures",Dietary management,Low-phenylalanine diet,Lifelong,Daily
810,Pityriasis Rosea,"Rash, itching",Supportive care,Antihistamines,4–8 weeks,As needed
811,Plantar Fasciitis,Heel pain,"Stretching, orthotics",NSAIDs,Weeks–months,As needed
812,Pneumonia,"Cough, fever, chest pain",Antibiotics,"Amoxicillin, Azithromycin",7–10 days,Daily
813,Polio,"Paralysis, muscle weakness",Supportive care,None,Long-term,Not applicable
814,Polycystic Ovary Syndrome (PCOS),"Irregular periods, weight gain","Lifestyle changes, medication","Metformin, Oral contraceptives",Months–years,Daily
815,Polymyalgia Rheumatica,"Muscle pain, stiffness",Corticosteroids,Prednisone,Months–years,Daily
816,Polyps (Colon),"Often asymptomatic, bleeding",Colonoscopy removal,None,One-time,Not applicable
817,Porphyria,"Abdominal pain, neurological symptoms","Avoid triggers, supportive care",Hemin,As needed,IV dose(s)
818,Post-Traumatic Stress Disorder (PTSD),"Flashbacks, anxiety","Therapy, medication",SSRIs,Months–years,Daily
819,Pre-eclampsia,"High blood pressure, swelling",Delivery of baby,Antihypertensives,Until delivery,Daily
820,Primary Biliary Cholangitis,"Fatigue, itching",Ursodeoxycholic acid,Ursodiol,Lifelong,Daily
821,Primary Sclerosing Cholangitis,"Fatigue, jaundice",Liver transplant,None,Long-term,Not applicable
822,Prostate Cancer,"Difficulty urinating, pelvic pain","Surgery, radiation",Hormone therapy,Months–years,Varies
823,Psoriasis,"Red, scaly skin patches","Topical treatments, phototherapy","Corticosteroids, Vitamin D analogs",Weeks–months,Daily
824,Pulmonary Embolism,"Sudden shortness of breath, chest pain",Anticoagulants,"Heparin, Warfarin",Months,Daily
825,Pulmonary Fibrosis,"Shortness of breath, dry cough","Oxygen therapy, antifibrotics",Pirfenidone,Lifelong,Daily
826,Rabies,"Fever, confusion, paralysis",Post-exposure prophylaxis,Rabies vaccine,Series over 2–4 weeks,Injection schedule
827,Raynaud’s Disease,"Cold fingers/toes, color changes","Avoid cold, medication",Calcium channel blockers,Long-term,Daily
828,Rheumatoid Arthritis,"Joint pain, swelling",Immunosuppressants,Methotrexate,Lifelong,Weekly
829,Rickets,"Bone deformities, delayed growth",Vitamin D and calcium,Vitamin D supplements,Weeks–months,Daily
830,Rosacea,"Facial redness, pimples",Topical antibiotics,Metronidazole,Weeks–months,Daily
831,Rubella (German Measles),"Rash, fever",Vaccination,None,Preventive,Not applicable
832,Salmonella Infection,"Diarrhea, fever","Rehydration, antibiotics",Ciprofloxacin,3–7 days,Daily
833,Sarcoidosis,"Fatigue, lung issues",Steroids,Prednisone,Weeks–months,Daily
834,Scabies,"Intense itching, rash",Topical scabicides,Permethrin,Single or repeat dose,8–14 hrs topical
835,Scleroderma,"Skin thickening, Raynaud’s phenomenon",Immunosuppressants,Methotrexate,Long-term,Weekly
836,Scoliosis,Curved spine,"Bracing, surgery",None,Varies,Not applicable
837,Sepsis,"Fever, rapid heart rate","Antibiotics, supportive care",Broad-spectrum antibiotics,Immediate/emergency,IV daily
838,Shigellosis,"Diarrhea, abdominal cramps",Antibiotics,Ciprofloxacin,3–5 days,Daily
839,Sinusitis,"Nasal congestion, facial pain","Decongestants, antibiotics",Amoxicillin,7–10 days,Daily
840,Skin Cancer (Basal Cell Carcinoma),"Skin lesions, bleeding","Surgery, topical treatment",None,One-time,Not applicable
841,Skin Cancer (Squamous Cell Carcinoma),Scaly skin lesions,"Surgery, radiation",None,One-time,Not applicable
842,Sleep Apnea,"Loud snoring, daytime sleepiness","CPAP therapy, lifestyle changes",None,Lifelong,Not applicable
843,Smallpox,"Fever, rash",Vaccination,None,Preventive,Not applicable
844,Spina Bifida,"Neural tube defect, paralysis","Surgery, supportive care",None,Lifelong,Not applicable
845,Spinal Muscular Atrophy,Muscle weakness,Supportive care,Nusinersen,Lifelong,As prescribed
846,Staphylococcal Infection,"Boils, cellulitis",Antibiotics,Dicloxacillin,7–14 days,Daily
847,Stomach Cancer,"Weight loss, abdominal pain","Surgery, chemotherapy",None,Depends on stage,Not applicable
848,Stroke,"Sudden weakness, speech difficulties",Emergency care,Thrombolytics,Immediate,Single IV dose
849,Syphilis,"Sores, rash",Antibiotics,Penicillin,Single or 3-dose course,IM injection
850,Systemic Sclerosis,"Skin thickening, organ damage",Immunosuppressants,Methotrexate,Long-term,Weekly
851,Tachycardia,Rapid heartbeat,"Medications, cardioversion",Beta blockers (Metoprolol),Short–long term,Daily
852,Tetanus,"Muscle stiffness, spasms","Antitoxin, antibiotics","Tetanus immunoglobulin, Metronidazole",7–14 days,As prescribed
853,Thalassemia,"Fatigue, anemia","Blood transfusions, chelation",Deferoxamine,Lifelong,As needed
854,Thrombocytopenia,"Easy bruising, bleeding","Treat cause, platelet transfusion",None,Varies,Not applicable
855,Thyroid Cancer,"Lump in neck, voice changes","Surgery, radioactive iodine",None,Variable,Not applicable
856,Tinnitus,Ringing in ears,Treat underlying cause,None,Varies,Not applicable
857,Toxoplasmosis,"Fever, swollen lymph nodes",Antibiotics,"Pyrimethamine, Sulfadiazine",4–6 weeks,Daily
858,Trigeminal Neuralgia,Facial pain,"Medication, surgery",Carbamazepine,Long-term,Daily
859,Tuberculosis,"Chronic cough, weight loss",Long-term antibiotics,"Isoniazid, Rifampicin",6–9 months,Daily
860,Tularemia,"Ulcer at infection site, fever",Antibiotics,Streptomycin,10–21 days,Daily (IM)
861,Turner Syndrome,"Short stature, infertility",Hormone therapy,Growth hormone,Years,Daily injection
862,Ulcerative Colitis,"Diarrhea, abdominal pain",Anti-inflammatory drugs,Mesalamine,Long-term,Daily
863,Urethritis,"Painful urination, discharge",Antibiotics,Azithromycin,1–7 days,Daily
864,Urticaria (Hives),"Itchy, raised welts",Antihistamines,Loratadine,As needed,Daily
865,Uterine Fibroids,"Heavy menstrual bleeding, pelvic pain","Surgery, medication",GnRH agonists,Months,Monthly injection
866,Vaginitis,"Vaginal discharge, itching",Antibiotics or antifungals,"Metronidazole, Fluconazole",1–7 days,Daily
867,Varicella (Chickenpox),"Rash, fever",Supportive care,Acyclovir,5–7 days,Daily
868,Varicose Veins,"Swollen, twisted veins",Compression stockings,None,Long-term,Not applicable
869,Vasculitis,"Fever, rash, organ damage","Steroids, immunosuppressants",Prednisone,Weeks–months,Daily
870,Vertigo,"Dizziness, imbalance","Medication, vestibular therapy",Meclizine,As needed,As needed
871,"Viral Hepatitis (A, B, C)","Fatigue, jaundice",Antiviral medication,"Tenofovir, Sofosbuvir",Weeks–months,Daily
872,Vitiligo,White patches on skin,"Phototherapy, corticosteroids",Topical steroids,Weeks–months,Daily
873,Vulvovaginal Candidiasis,"Itching, discharge",Antifungal medication,Fluconazole,1–3 days,Single/daily dose
874,Warts,Skin growths,"Cryotherapy, topical agents",Salicylic acid,Weeks–months,Daily
875,West Nile Virus Infection,"Fever, rash, neurological symptoms",Supportive care,None,7–10 days,Not applicable
876,Wilson’s Disease,"Liver disease, neurological symptoms",Chelation therapy,Penicillamine,Lifelong,Daily
877,Wolff-Parkinson-White Syndrome,"Rapid heartbeat, palpitations","Medication, ablation",Beta blockers,Varies,Daily
878,Xerophthalmia,"Dry eyes, night blindness",Vitamin A supplementation,Vitamin A,Few days,Daily
879,Yellow Fever,"Fever, jaundice",Supportive care,None,7–10 days,Not applicable
880,Zika Virus Infection,"Fever, rash, joint pain",Supportive care,None,5–7 days,Not applicable
881,Zollinger-Ellison Syndrome,"Abdominal pain, ulcers",Proton pump inhibitors,Omeprazole,Long-term,Daily
882,Adenovirus Infection,"Cold-like symptoms, conjunctivitis",Supportive care,None,5–7 days,Not applicable
883,Alcohol Use Disorder,"Cravings, loss of control over drinking","Counseling, medication","Disulfiram, Naltrexone",Months–years,Daily
884,Amyloidosis,"Fatigue, weight loss",Chemotherapy,Melphalan,Varies,As prescribed
885,Anemia of Chronic Disease,"Fatigue, pallor",Treat underlying cause,None,Varies,Not applicable
886,Angelman Syndrome,"Developmental delay, seizures",Supportive care,None,Lifelong,Not applicable
887,Ankylosing Spondylitis,"Back pain, stiffness","NSAIDs, physical therapy",NSAIDs,Long-term,Daily
888,Aortic Aneurysm,"Often asymptomatic, pain",Surgery,None,One-time,Not applicable
889,Aortic Stenosis,"Chest pain, fainting",Surgery,None,One-time,Not applicable
890,Asperger Syndrome,"Social difficulties, repetitive behaviors",Behavioral therapy,None,Long-term,Not applicable
891,Atopic Dermatitis (Eczema),"Itchy, inflamed skin","Moisturizers, corticosteroids",Topical steroids,Weeks–months,Daily
892,Atrial Fibrillation,Irregular heartbeat,"Anticoagulants, rate control","Warfarin, Beta blockers",Long-term,Daily
893,Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity","Behavioral therapy, medication",Methylphenidate,Long-term,Daily
894,Autism Spectrum Disorder,Social interaction difficulties,"Therapy, education",None,Lifelong,Not applicable
895,Autoimmune Hepatitis,"Fatigue, jaundice",Immunosuppressants,Prednisone,Months–years,Daily
896,Bacterial Vaginosis,"Vaginal discharge, odor",Antibiotics,Metronidazole,5–7 days,Daily
897,Barrett’s Esophagus,"Heartburn, chest pain",Acid suppression,Proton pump inhibitors,Long-term,Daily
898,Bell’s Palsy,Facial paralysis,"Steroids, supportive care",Prednisone,7–10 days,Daily
899,Benign Prostatic Hyperplasia,Urinary difficulty,"Medication, surgery",Alpha blockers,Long-term,Daily
900,Bipolar Disorder,"Mood swings, depression, mania",Mood stabilizers,Lithium,Long-term,Daily
901,Blastomycosis,"Fever, cough, weight loss",Antifungal therapy,Itraconazole,Weeks–months,Daily
902,Bladder Cancer,"Blood in urine, pain during urination","Surgery, chemotherapy",None,Varies,Not applicable
903,Blepharitis,"Eyelid inflammation, itching","Eyelid hygiene, antibiotics",Azithromycin eye drops,Weeks,Daily
904,Botulism,"Muscle weakness, paralysis","Antitoxin, supportive care",Botulinum antitoxin,Immediate,Single dose
905,Bronchiolitis,"Cough, wheezing",Supportive care,None,1–2 weeks,Not applicable
906,Bronchitis,"Cough, mucus production","Rest, fluids, sometimes antibiotics",None,1–2 weeks,Not applicable
907,Brucellosis,"Fever, sweating, muscle pain",Antibiotics,Doxycycline + Rifampicin,6+ weeks,Daily
908,Bullous Pemphigoid,Blistering skin rash,Corticosteroids,Prednisone,Weeks–months,Daily
909,Burkitt Lymphoma,"Swollen lymph nodes, fever",Chemotherapy,Various,Months,As prescribed
910,Candidiasis (Oral Thrush),"White patches in mouth, soreness",Antifungal medication,Nystatin,7–14 days,Daily
911,Carcinoid Tumor,"Flushing, diarrhea","Surgery, somatostatin analogs",Octreotide,Varies,As prescribed
912,Carpal Tunnel Syndrome,"Hand numbness, tingling","Splinting, surgery",None,Weeks–months,Not applicable
913,Cataract,"Blurred vision, clouded lens",Surgery,None,One-time,Not applicable
914,Celiac Disease,"Diarrhea, abdominal pain",Gluten-free diet,None,Lifelong,Not applicable
915,Cellulitis,"Redness, swelling, pain",Antibiotics,Cephalexin,5–14 days,Daily
916,Cerebral Palsy,"Motor dysfunction, muscle stiffness","Therapy, supportive care",None,Lifelong,Not applicable
917,Cervical Cancer,"Abnormal bleeding, pelvic pain","Surgery, radiation",None,Months,Not applicable
918,Chalazion,"Eyelid lump, swelling","Warm compresses, surgery",None,Days–weeks,Not applicable
919,Chickenpox,"Itchy rash, fever",Supportive care,Acyclovir,5–7 days,Daily
920,Chikungunya,"Fever, joint pain",Supportive care,None,1–2 weeks,Not applicable
921,Chlamydia,"Painful urination, discharge",Antibiotics,Azithromycin,1–7 days,Single dose
922,Chronic Fatigue Syndrome,"Extreme fatigue, muscle pain",Symptom management,None,Long-term,Not applicable
923,Chronic Kidney Disease,"Fatigue, swelling","Dialysis, transplant",None,Lifelong,Not applicable
924,Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, breathlessness","Inhalers, oxygen therapy",Bronchodilators,Long-term,Daily
925,Cirrhosis,"Jaundice, swelling","Avoid alcohol, supportive care",None,Lifelong,Not applicable
926,Clostridium difficile Infection,"Diarrhea, abdominal pain",Antibiotics,Vancomycin,10–14 days,Daily
927,Cluster Headache,Severe headache attacks,"Oxygen therapy, medication",Sumatriptan,Episodic,As needed
928,Coccidioidomycosis,"Fever, cough",Antifungal therapy,Fluconazole,Weeks–months,Daily
929,Colorectal Cancer,"Blood in stool, weight loss","Surgery, chemotherapy",None,Months–years,Not applicable
930,Common Cold,"Runny nose, sore throat",Supportive care,None,5–10 days,Not applicable
931,Congestive Heart Failure,"Shortness of breath, edema","Diuretics, ACE inhibitors","Furosemide, Lisinopril",Long-term,Daily
932,Conjunctivitis,"Red eyes, discharge",Antibiotics or antihistamines,Erythromycin eye drops,5–7 days,Daily
933,Coronary Artery Disease,"Chest pain, shortness of breath","Lifestyle changes, medication","Aspirin, Statins",Long-term,Daily
934,Coxsackievirus Infection,"Fever, rash, mouth sores",Supportive care,None,1–2 weeks,Not applicable
935,Creutzfeldt-Jakob Disease,"Rapid dementia, movement problems",Supportive care,None,Terminal,Not applicable
936,Crohn’s Disease,"Diarrhea, abdominal pain",Anti-inflammatory drugs,Infliximab,Long-term,As prescribed
937,Cushing’s Syndrome,"Weight gain, high blood pressure","Surgery, medication",Ketoconazole,Weeks–months,Daily
938,Cystic Fibrosis,"Lung infections, poor growth","Chest physiotherapy, antibiotics",Various antibiotics,Lifelong,As prescribed
939,Dandruff,"Flaky scalp, itching",Medicated shampoos,Ketoconazole shampoo,Weeks–months,Regular use
940,Dehydration,"Thirst, dizziness",Fluid replacement,Oral rehydration salts,1–3 days,As needed
941,Dengue Fever,"Fever, rash, joint pain",Supportive care,None,5–7 days,Not applicable
942,Depression,"Sadness, loss of interest","Therapy, medication",SSRIs (Fluoxetine),Long-term,Daily
943,Dermatitis,"Red, itchy skin",Topical steroids,Hydrocortisone cream,Weeks,Daily
944,Diabetes Mellitus Type 1,"Increased thirst, urination",Insulin therapy,Insulin,Lifelong,Daily
945,Diabetes Mellitus Type 2,"Increased thirst, fatigue","Lifestyle changes, medication",Metformin,Long-term,Daily
946,Diabetic Retinopathy,"Vision changes, blindness","Laser therapy, medication",Anti-VEGF drugs,Varies,As prescribed
947,Diarrhea,"Loose stools, dehydration",Rehydration,Oral rehydration salts,1–3 days,As needed
948,Diphtheria,"Sore throat, fever","Antitoxin, antibiotics",Erythromycin,10–14 days,Daily
949,Diverticulitis,"Abdominal pain, fever","Antibiotics, surgery",Metronidazole,7–10 days,Daily
950,Down Syndrome,"Intellectual disability, distinct facial features",Supportive care,None,Lifelong,Not applicable
952,Drug-Induced Hepatitis,"Jaundice, abdominal pain",Stop offending drug,None,Until resolution,Not applicable
953,Duchenne Muscular Dystrophy,"Muscle weakness, difficulty walking",Physical therapy,None,Lifelong,Not applicable
954,Dupuytren’s Contracture,"Hand deformity, thickened skin",Surgery,None,One-time,Not applicable
955,Eclampsia,Seizures during pregnancy,"Delivery, magnesium sulfate",Magnesium sulfate,Immediate,Short-term
956,Ehlers-Danlos Syndrome,"Hyperflexible joints, fragile skin",Supportive care,None,Lifelong,Not applicable
957,Electrolyte Imbalance,"Fatigue, muscle cramps",Correct imbalance,Electrolyte supplements,Days–weeks,Daily or as needed
958,Emphysema,"Shortness of breath, chronic cough",Oxygen therapy,Bronchodilators,Lifelong,Daily
959,Endocarditis,"Fever, heart murmur",Antibiotics,Penicillin,4–6 weeks,Daily
960,Endometriosis,"Pelvic pain, heavy periods","Surgery, hormonal therapy","NSAIDs, contraceptives",Varies,Daily
961,Epidermolysis Bullosa,"Fragile skin, blistering",Wound care,None,Lifelong,Not applicable
962,Epilepsy,Seizures,Antiepileptic drugs,"Phenytoin, Valproate",Lifelong,Daily
963,Epithelial Ovarian Cancer,"Abdominal swelling, pain","Surgery, chemotherapy",None,Months–years,As prescribed
964,Erectile Dysfunction,Difficulty achieving or maintaining erection,"Counseling, medication",Sildenafil,As needed,As needed
965,Esophageal Cancer,"Difficulty swallowing, weight loss","Surgery, chemotherapy",None,Months,Not applicable
966,Esophageal Varices,"Vomiting blood, liver disease","Endoscopy, medication",Beta blockers,Long-term,Daily
967,Essential Tremor,"Shaking hands, head tremors",Medication,Propranolol,Long-term,Daily
968,Exocrine Pancreatic Insufficiency,"Weight loss, diarrhea",Pancreatic enzyme replacement,Pancrelipase,Lifelong,With meals
969,Familial Hypercholesterolemia,"High cholesterol, early heart disease","Statins, lifestyle",Atorvastatin,Lifelong,Daily
970,Fibromyalgia,"Widespread pain, fatigue","Medications, therapy",Duloxetine,Long-term,Daily
971,Fibroids (Uterine),"Heavy bleeding, pelvic pressure","Surgery, medication",GnRH agonists,Months,Daily
972,Food Poisoning,"Vomiting, diarrhea","Hydration, rest",None,1–3 days,Not applicable
973,Gallstones,"Abdominal pain, nausea",Surgery,None,One-time,Not applicable
974,Gastritis,"Stomach pain, nausea","Antacids, antibiotics",Omeprazole,2–4 weeks,Daily
975,Gastroenteritis,"Diarrhea, vomiting","Hydration, rest",None,1–3 days,Not applicable
976,Gastroesophageal Reflux Disease (GERD),"Heartburn, regurgitation","Lifestyle changes, medication",Omeprazole,Long-term,Daily
977,Giant Cell Arteritis,"Headache, jaw pain",Steroids,Prednisone,Months,Daily
978,Glaucoma,"Vision loss, eye pain","Eye drops, surgery",Timolol,Lifelong,Daily
979,Goiter,Neck swelling,Iodine supplementation,None,Varies,Not applicable
980,Gout,"Joint pain, swelling","NSAIDs, lifestyle",Allopurinol,Long-term,Daily
981,Guillain-Barre Syndrome,"Muscle weakness, paralysis",Immunoglobulins,IVIG,Short-term,3–5 days
982,Hair Loss (Alopecia),Thinning or loss of hair,Topical treatments,Minoxidil,Months–years,Daily
983,"Hand, Foot, and Mouth Disease","Fever, sores in mouth, rash",Supportive care,None,7–10 days,Not applicable
984,Hashimoto’s Thyroiditis,"Fatigue, weight gain",Thyroid hormone replacement,Levothyroxine,Lifelong,Daily
985,Headache (Migraine),"Throbbing head pain, nausea","Medication, lifestyle",Sumatriptan,Episodic/preventive,As needed
986,Head Lice,"Itching, visible lice",Topical insecticides,Permethrin,1–2 treatments,Topical
987,Heart Attack (Myocardial Infarction),"Chest pain, shortness of breath","Emergency care, medication","Aspirin, Nitroglycerin",Immediate & long-term,As prescribed
988,Heart Failure,"Breathlessness, fatigue","Medication, lifestyle","ACE inhibitors, Diuretics",Lifelong,Daily
989,Hemophilia,Excessive bleeding,Clotting factor replacement,Factor VIII or IX,As needed,IV on demand
990,Hepatitis A,"Fatigue, jaundice",Supportive care,None,2–4 weeks,Not applicable
991,Hepatitis B,"Fatigue, jaundice",Antiviral therapy,Tenofovir,Months–years,Daily
992,Hepatitis C,"Fatigue, jaundice",Antiviral therapy,Sofosbuvir,8–12 weeks,Daily
993,Herpes Simplex Virus Infection,"Cold sores, genital sores",Antiviral medication,Acyclovir,5–10 days (initial),Daily or episodic
994,Hiatal Hernia,"Heartburn, chest pain","Lifestyle changes, surgery",None,Long-term if needed,Not applicable
995,Hirschsprung Disease,"Constipation, abdominal swelling",Surgery,None,One-time,Not applicable
996,Hodgkin’s Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",Various,Months,As prescribed
997,Hyperthyroidism,"Weight loss, rapid heartbeat","Medication, radioactive iodine",Methimazole,Months–years,Daily
998,Hypothyroidism,"Fatigue, weight gain",Thyroid hormone replacement,Levothyroxine,Lifelong,Daily
999,Hypoglycemia,"Sweating, shakiness",Glucose administration,Glucose,Immediate,Single dose or as needed
1000,Hypertension,"Often asymptomatic, headache","Lifestyle changes, medication","ACE inhibitors, Beta blockers",Lifelong,Daily
1001,Herpes Labialis (Cold Sores),"Lip blisters, pain","Antiviral creams, avoid triggers","Acyclovir, Valacyclovir",5–7 days,"Topical/Oral, as needed"
1002,Angular Cheilitis,Cracked mouth corners,Antifungal/antibacterial creams,"Clotrimazole, Mupirocin",7–14 days,Topical
1003,Oral Thrush (Candidiasis),White mouth patches,Antifungal therapy,"Nystatin, Fluconazole",7–14 days,Daily
1004,Leukoplakia,White oral patches,"Monitoring, avoid irritants",No specific medicine,As needed,Not applicable
1005,Oral Lichen Planus,"Lacy white patches, burning","Corticosteroids, immune modulators","Clobetasol, Tacrolimus",Weeks–months,Daily/topical
1006,Cheilitis,"Dry, inflamed lips","Lip care, avoid irritants","Emollients, Hydrocortisone",Few days–1 week,Topical
1007,Aphthous Ulcers,Small painful mouth ulcers,"Pain relief, topical steroids","Triamcinolone, Benzocaine",7–10 days,Topical
1008,Oral Cancer,"Persistent sore, mouth lump","Surgery, radiotherapy, chemotherapy","Cisplatin, 5-FU",Months–years,As prescribed
1009,Geographic Tongue,Red tongue patches,Usually none,Hydrocortisone (topical),As needed,"Topical, short-term"
1010,Oral Herpes,"Oral blisters, pain",Antiviral therapy,"Acyclovir, Famciclovir",5–10 days,As needed
1011,Pemphigus Vulgaris,Painful oral sores,Immunosuppressants,"Prednisone, Azathioprine",Months–years,Daily
1012,Oral Fibroma,Painless oral lump,Surgical excision,Ibuprofen (post-op),One-time surgery,Few days post-op
1013,Oral Melanoma,Dark oral lesion,Surgical excision,Interferon alpha,Varies,As prescribed
1014,Fordyce Spots,Small yellow-white spots,Usually none,No specific medicine,None,Not applicable
1015,Oral Papilloma,Wart-like growth,Surgical removal,No specific medicine,One-time,Not applicable
1016,Oral Submucous Fibrosis,"Stiff mouth, burning","Steroids, avoid areca nut","Triamcinolone, Pentoxifylline",Months–years,Topical/systemic
1017,Black Hairy Tongue,"Dark, furry tongue",Improve oral hygiene,Chlorhexidine mouthwash,1–2 weeks,Daily rinse
1018,Kaposi's Sarcoma,Purple-red mouth spots,"ART, chemotherapy",Liposomal Doxorubicin,Months,As prescribed
1019,Oral Candidiasis,White tongue coating,Antifungal treatment,"Fluconazole, Nystatin",7–14 days,Daily/topical
1020,Denture Stomatitis,Red palate under denture,"Denture hygiene, antifungal therapy","Nystatin, Miconazole",1–2 weeks,Topical
1021,Mucous Cyst (Mucocele),Fluid-filled oral bump,Surgical removal,No medicine,One-time,Not applicable
1022,Oral Hemangioma,Reddish-blue lump,"Observation, laser therapy",No medicine,Varies,Not applicable
1023,Oral Ulcers,"Mouth sores, pain","Treat cause, topical relief","Corticosteroids, Ibuprofen",1–2 weeks,As needed
1024,Oral Pemphigoid,"Blisters, gum erosion",Immunosuppressants,"Prednisone, Azathioprine",Months–years,Daily
1025,Sialolithiasis (Salivary Stones),Swollen painful gland,"Surgical removal, hydration",Paracetamol,One-time or recurrent,As needed
1026,Oral HPV Infection,Wart-like oral lesions,"Monitoring, treatment of lesions",No medicine,Varies,Not applicable
1027,Tongue Lacerations,"Tongue cuts, bleeding",Wound care,Amoxicillin (if infected),5–7 days (if needed),Oral
1028,Lip Cancer,"Lip lump, ulcer","Surgery, radiotherapy, chemotherapy","Cisplatin, 5-FU",Months,As prescribed
1029,Actinic Cheilitis,"Scaly, crusted lips","Sun protection, surgical excision",Topical 5-Fluorouracil,2–4 weeks,Topical
1030,Oral Sarcoidosis,"Mouth nodules, dry mouth","Corticosteroids, immunosuppressants",Prednisone,Months,Daily
1031,Tongue Cancer,"Tongue sore, difficulty speaking","Surgery, radiotherapy, chemotherapy","Cisplatin, 5-FU",Months,As prescribed
1032,Oral Herpangina,Painful throat blisters,Supportive care,Ibuprofen,3–7 days,As needed
